epoch,total_loss,loss_cls,loss_reg,loss_obj,mAP50,mAP50_95,precision,recall,latency_ms,fps,epoch_time_sec
1,1.6444226968086373,0.5387936476933755,1.0755028325622364,0.03012621584269455,0.29039024276100867,0.06737914929287736,0.7178329569485704,0.31673306769753656,6.229850561753262,160.51749397317337,32.589301475999946
2,0.9721594185142194,0.25165515304622005,0.7076181435989122,0.012886122066401324,0.5573270008784889,0.1734900537178069,0.7721822541040549,0.6407960198367367,6.4960024601594775,153.94082839917058,27.687710660999983
3,0.8293175732685347,0.1976175316435806,0.6239327720161212,0.007767267793543258,0.6890035216669897,0.28313632825105256,0.8697104676091637,0.7778884461376605,6.677928828685344,149.74702870513607,27.288015763999965
4,0.7001338575856161,0.15129760640152431,0.5434372061389988,0.0053990463355272,0.4505886418873946,0.15037653709943805,0.6637608965549489,0.5308764939710282,6.385578595617099,156.60288022864128,27.412373398
5,0.6325062467890271,0.12849051899955435,0.4997867893869594,0.004228937658639151,0.7861694842436618,0.2909337671773433,0.8321464902510533,0.813121272284978,6.144515579681282,162.7467596154863,27.237766332999968
6,0.5932990509574696,0.11669226991549386,0.4729470600516109,0.003659721333691377,0.7903799610881448,0.28971624013788133,0.886170212671684,0.8296812748177609,6.156198559761222,162.4379055179121,26.622589186000027
7,0.5507219633308508,0.10689735516779504,0.4406515420493433,0.003173066509327204,0.6896347194392349,0.2921740039896986,0.8307210030479916,0.7910447760406921,6.2613944163348085,159.70883376891047,27.47381990200006
8,0.5230125898526887,0.09910989221248587,0.4210326777676405,0.0028700196002688955,0.8039697596382014,0.3716753181230109,0.9318658279945634,0.8854581672424843,6.149675298804976,162.6102113382024,27.165727339
9,0.5021298881304466,0.09397113743096085,0.4054928765458576,0.0026658734965722187,0.7997406593865233,0.35621394452955524,0.9212765956466727,0.8625498007109015,6.227128235059444,160.58766774223238,27.603324896999993
10,0.4754870470802663,0.08434762076427371,0.38869624925872026,0.002443178855790362,0.665406239293152,0.2502716606193886,0.7243781093806589,0.7250996015214044,6.153955262947469,162.49711888887614,27.402381633999994
11,0.46039552835084624,0.08369212834385492,0.3744267950118598,0.0022766054272493823,0.8910261584544265,0.3934894982990857,0.9496855344916473,0.9023904381571325,6.345214155379132,157.59909366530263,26.907676048999974
12,0.447945806434599,0.0776312992103019,0.36819964849342735,0.0021148568090303974,0.8044279829905342,0.4030303999028451,0.9442105262163989,0.8934262947317305,6.218478864541276,160.81103140868646,27.214147606000097
13,0.42143506518865037,0.07085121470361443,0.34863090262574664,0.0019529465777341718,0.6664271874865191,0.24713531774465286,0.7940267764372784,0.7671641790281429,6.208022645418136,161.0818866355224,27.682761581000022
14,0.42465246885509816,0.07218480736838054,0.35052107173507496,0.0019465906158784184,0.8914911860655671,0.4103093018676458,0.948637316462407,0.9013944222209767,6.195906217131657,161.39689093986024,26.97148631799996
15,0.40545466011863646,0.0686388840362177,0.33499244688931157,0.001823329347012154,0.7912804042868864,0.3639621656007339,0.9069767440901716,0.8545816732216552,6.295884396415007,158.83392023039983,27.078577423999945
16,0.39400603306495535,0.0663198259485475,0.32597560725979885,0.001710597890373951,0.8049828568220023,0.4022556095757264,0.9663043477210539,0.8854581672424843,6.067616639442516,164.8093575160145,26.968450364999967
17,0.3827900085913933,0.06089956726942022,0.3202741075370271,0.001616334740439493,0.8075777043568323,0.4302814122612541,0.9612486543636977,0.8894422309871074,6.100108880478825,163.93150017373225,26.630753229000106
18,0.37039622588682986,0.05925156000875315,0.3096222362275851,0.0015224307130280313,0.8012674514039009,0.3554929734651045,0.8067456699355746,0.8814741034978612,6.288265097608533,159.0263744415461,27.06833855499997
19,0.36456363433498445,0.05932804659577245,0.3036778921545562,0.0015576956512493286,0.7932761641539492,0.35961256254528734,0.7371524851948481,0.8715139441363035,6.2040871314746555,161.18406766513434,27.447929516000045
20,0.3501868976627366,0.05503829972723783,0.2937578144720045,0.00139078333671994,0.7918093310799447,0.3831940951648377,0.9272918860982833,0.8764940238170823,6.311204195218673,158.44836723197665,26.716097461999993
21,0.34016252372224454,0.05139164151465994,0.287419542796531,0.0013513387327863818,0.9026367976279014,0.4715042453046311,0.9768421051603324,0.9243027887525596,6.292379567728956,158.92239004916223,26.93648004199997
22,0.3283303887662241,0.049041952464287566,0.2779985167464967,0.001289920580979847,0.8016282783714053,0.4141043799196004,0.9386056190490525,0.8984063744125094,6.288914990039916,159.00994075826313,27.376641940000013
23,0.31894609786696354,0.04544815263253147,0.2722689945061328,0.0012289512136919518,0.9009323595732001,0.4699237260995369,0.9737945491641725,0.9252988046887153,6.246749023905676,160.0832683005354,27.256314980999946
24,0.3119900494308795,0.04393415681039125,0.26686172679824344,0.00119416563085012,0.900471971346902,0.48978445212974586,0.9696652718650978,0.9233067728164037,6.093735346613117,164.1029587141157,27.228271749000214
25,0.3068587105658095,0.04146913548742058,0.2642592430367308,0.00113033364730161,0.8990580302308575,0.48303398724954566,0.9668737059040504,0.9302788843694941,6.119235330676288,163.41911136950532,26.713858873000163
26,0.29580840923018376,0.040195917647521374,0.2545346895516929,0.00107780167432423,0.9026745272826524,0.4863277642038211,0.9708939707930464,0.9302788843694941,6.3137657649391095,158.38408284847802,26.70606035799983
27,0.2926571376748004,0.039767533004031345,0.25178500567957507,0.0011045993858222235,0.8988199979782658,0.48122437513392374,0.9648397103448977,0.9292828684333384,6.209287083665225,161.04908446425367,27.301506232999827
28,0.28248949058480183,0.03903891435050863,0.24240417841632486,0.0010463983798202254,0.8990097174316268,0.4797613287754797,0.9708939707930464,0.9302788843694941,6.189032992030926,161.57613011396322,27.004873967999856
29,0.2736077871868166,0.033130166925868745,0.23951385801626465,0.0009637623480264634,0.897938543516314,0.47700440889286205,0.9717868337542542,0.9262948206248711,6.045712476094536,165.40647673109143,27.03509863799991
30,0.265785789969614,0.033586847256490235,0.2312521308155383,0.0009468120860204227,0.8998076724607939,0.48584000045596776,0.9619732784211744,0.9322709162418057,6.164462306771268,162.2201499880312,26.699456161999933
31,0.26130505158739575,0.030343142953717102,0.23003727930077053,0.0009246293109569352,0.9000201103379764,0.4894994472782351,0.9720207252878735,0.9342629481141173,6.283485583665594,159.14733736313124,26.75162024800011
32,0.24524375278565844,0.028356774362845946,0.2160155788316565,0.0008713995339348912,0.9022561345597431,0.4928028127567732,0.9650205760324053,0.9342629481141173,6.131645408366609,163.08836101896947,26.949038308000127
33,0.24543309704226962,0.029370072621347037,0.21520901648169857,0.0008540078753435795,0.9001812762498932,0.49403735424151335,0.9721362228098931,0.9382470118587404,6.184509372509043,161.6943139329906,26.94709164799997
34,0.23609737900354094,0.025320208623563333,0.20995303470704516,0.0008241346338270548,0.899360402904765,0.49492208954265776,0.9689440992785773,0.9322709162418057,6.199905197208628,161.29278887203438,26.933276204000094
35,0.23019042926824698,0.024110361037902154,0.2053002226403204,0.0007798458418465551,0.9028892577360099,0.49760057996695306,0.9782833504676026,0.9422310756033635,6.081826053785795,164.42430137861692,26.54481804499983
36,0.22218628290851236,0.024081990312216646,0.19733883579403666,0.0007654569278001564,0.9016441446082638,0.5082739210374624,0.9722222221221994,0.9412350596672077,6.074499213146208,164.6226240075621,26.652070498000057
37,0.21423705705141616,0.021809851900690187,0.19168195166325164,0.0007452529468336853,0.9007801829830051,0.4969391216555703,0.9753340183992463,0.9452191234118308,6.190229256971581,161.544905444944,26.83900858999982
38,0.2074685293739125,0.02041150574469781,0.1863299254643715,0.0007270983357665176,0.9020221325985156,0.5060468527770884,0.9753340183992463,0.9452191234118308,6.126780384462848,163.21786276784798,26.429703075000134
39,0.19919860426147104,0.01734956028729172,0.18116668965351784,0.00068235384291472,0.8995602705377317,0.5028397688654758,0.9710743800649717,0.9362549799864288,6.163361537848045,162.24912231080197,26.778518020000092
40,0.195954941465693,0.017943071601991305,0.17732668390213432,0.0006851857297232975,0.9013608762658832,0.5002704181884702,0.9752066114695035,0.9402390437310519,6.264662223106752,159.6255255888454,26.986197574000016
41,0.18874424064563491,0.016881760855015936,0.17120703284518193,0.0006554471550832929,0.901938592339495,0.5033372813137537,0.9731958761883304,0.9402390437310519,6.147987201195492,162.6548604078986,27.113619154000162
42,0.18152137113324665,0.015237418922864027,0.1656410738320674,0.0006428786856319629,0.8987883930451404,0.5071666640478304,0.968041237013604,0.9352589640502731,6.231441840635077,160.4765037649914,27.08366320899995
43,0.17869047208105104,0.014242396052626862,0.16380892447748427,0.0006391520513778047,0.9003787584769944,0.5184352333806943,0.9723643806578952,0.9462151393479866,6.181535496014012,161.7721034918948,26.876877550000017
44,0.17624159435094414,0.014076302441673638,0.16154583859241614,0.0006194534812416581,0.8994379432236496,0.519269895395929,0.9723643806578952,0.9462151393479866,6.146524539840484,162.69356666815688,27.36571172699996
45,0.17119988009838735,0.012948133148079327,0.15764997975300934,0.0006017675820611797,0.9010581596541312,0.5081359147874165,0.9763617676283287,0.9462151393479866,6.2529169820720885,159.92536009467705,26.574767972000018
46,0.16435209794317263,0.011744295298200796,0.15202866103184426,0.0005791411612782691,0.9003611915503245,0.5110320818721326,0.9733333332335043,0.9452191234118308,6.178877378487417,161.84169692080843,27.029821585000036
47,0.16757005579390769,0.012472413681542217,0.15449202597393827,0.0006056164704081682,0.8997156618468866,0.5080122145612291,0.9682702148445987,0.9422310756033635,6.21072081274865,161.01190669323205,27.186155309000014
48,0.16038994592125133,0.01093980145119762,0.14886616340885728,0.0005839812799684419,0.8995558003928837,0.509593094540312,0.9713114753103165,0.9442231074756751,6.221998113545057,160.72007444409817,26.76996899400001
49,0.1629915513350802,0.011843817257243445,0.15054990256489334,0.00059783110277672,0.8992393804871586,0.5073106825141627,0.9692622949826576,0.9422310756033635,6.310974537847101,158.45413319337138,27.183768205999968
50,0.15770960315051724,0.010425245133820543,0.146702530588639,0.0005818278139301229,0.8995502090253344,0.5097262480853124,0.9702868851464871,0.9432270915395192,6.339334615539797,157.7452620261866,27.01681862999999
