epoch,total_loss,loss_cls,loss_reg,loss_obj,mAP50,mAP50_95,precision,recall,latency_ms,fps,epoch_time_sec
1,1.8789874911308289,0.6737420248278116,1.1787175753359067,0.026527892521945602,0.1311367427529544,0.03578532261318068,0.359317904950144,0.2938247011659537,7.041291896414178,142.01939284881178,28.648191271000087
2,1.051458539093955,0.3052212402729665,0.734751839253862,0.011485461173263394,0.438906601391464,0.13025592978088513,0.5376146788497601,0.5830845770564095,6.927331639439131,144.35572772447267,28.617131900999993
3,0.8631489999213461,0.2242677475057416,0.6315231745020818,0.007358079069783374,0.6729022220158931,0.20161755937706816,0.7932166301101514,0.7221115537129371,6.763945808760114,147.8426983706583,28.13492472500002
4,0.7502355479587943,0.17627942517904913,0.5685291686805628,0.00542695213196073,0.5599322879189439,0.1805198595754441,0.7427652732322867,0.689552238737358,6.805900928287361,146.93131894466765,28.152645456999835
5,0.6728640415910947,0.14941251637824512,0.5191515494706267,0.004299976503855343,0.6720995175844114,0.23280866865030955,0.7205741626104714,0.7499999999252989,6.823544669321317,146.55139644589767,28.60129544099982
6,0.6179194409968489,0.13321694056108846,0.4810691718327797,0.0036333291594065347,0.7752023576045831,0.2779856060455075,0.8393782382549867,0.806772908286178,6.779810681277253,147.49674393734097,28.237138440000308
7,0.5833814207275035,0.12128496466804359,0.45883543562080903,0.0032610212515850187,0.7853446840236173,0.3098717294943811,0.7902163686933004,0.8366533863708513,6.819292348610357,146.64278181353833,28.95410253199998
8,0.5482791993072478,0.10902582014263687,0.4362728666451018,0.0029805132900206847,0.7945998705678327,0.3520279998594821,0.8945147678381313,0.8446215138600975,6.848494428284872,146.01749486279988,28.286504435000097
9,0.538454233842381,0.10648462763529713,0.4291442289190777,0.0028253754756760673,0.8026806709363944,0.361308561573221,0.9315508020394063,0.8666666665804312,6.844512607572196,146.1024410845096,28.168529906999993
10,0.5036410078153772,0.09567516360242488,0.4054516957978071,0.002514148732820936,0.6893033255337498,0.3016617042381763,0.8612975390535462,0.766932270839947,6.814714107572417,146.74129893267477,28.305466228000114
11,0.48342923112845015,0.08907946543294494,0.392019953263008,0.0023298128616554125,0.8039961242433867,0.38328303176886236,0.9471458772783145,0.8915422884685033,6.932598521910973,144.24605677646392,28.523032473999592
12,0.468689491940757,0.08634480227858334,0.38018454106177313,0.0021601502953286647,0.8087797519027262,0.37880809999857795,0.8970736628761783,0.8854581672424843,6.820422908367256,146.61847416722586,28.245151208000152
13,0.44510905368853426,0.07921977338018053,0.3637891719907017,0.002100108061143655,0.802933518220744,0.3850225268758837,0.9437367302607499,0.8845771143398431,6.859475707168789,145.7837366425698,28.139186507999966
14,0.442524688223661,0.07505920586192001,0.3654156291888932,0.002049852893648322,0.7027672211062033,0.2908999700801873,0.9022379268666387,0.762948207095324,6.858562519925774,145.803147101854,28.39850020899985
15,0.4254855008448585,0.07205039073350065,0.3515155530076916,0.001919555778701995,0.8036605206145914,0.3695136471042758,0.8720472440086569,0.882470119434017,6.854263406375505,145.89459737859625,28.269260425000084
16,0.40728602848820766,0.06996588914071099,0.33554255431991514,0.0017775847676202213,0.8938703302346588,0.4342422516221263,0.9495798318330274,0.9003984062848209,6.834010930274652,146.32695355665913,28.00034800100002
17,0.39412197773739444,0.065597351040628,0.3268349581098152,0.001689667311808789,0.8954572822483872,0.4379368316512845,0.9592050208201669,0.913346613454846,6.831678609561308,146.37690927094334,28.282059927999853
18,0.3821839940244869,0.06115098439662133,0.31944348195851857,0.0015895281088641072,0.8952258574013258,0.4365487645026322,0.9290780140902657,0.913346613454846,6.8401315179317566,146.19601938624257,28.464127426999767
